"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.538620100E-1,5.350442410E0,2.218826532E0,7.379528046E0
7.558550310E-1,5.484517574E0,2.166153908E0,7.575852871E0
7.578480520E-1,5.637746334E0,2.151788712E0,7.772177219E0
7.598410720E-1,5.767033577E0,2.094327927E0,7.978078842E0
7.618340930E-1,5.905897141E0,2.041655540E0,8.203133583E0
7.638271140E-1,5.992088318E0,1.974617839E0,8.400056839E0
7.658201350E-1,6.054935932E0,1.926733851E0,8.601169586E0
7.678131560E-1,6.078877926E0,1.864484549E0,8.783128738E0
7.698061770E-1,6.102819920E0,1.840542555E0,8.941145897E0
7.717991970E-1,6.078877926E0,1.763928056E0,9.051279068E0
7.737922180E-1,6.064512730E0,1.730409265E0,9.137471199E0
7.757852390E-1,6.030395508E0,1.706467271E0,9.233239174E0
7.777782600E-1,6.006453514E0,1.658583283E0,9.271546364E0
7.797712810E-1,5.944204330E0,1.639429569E0,9.329007149E0
7.817643020E-1,5.896320343E0,1.586757183E0,9.376891136E0
7.837573220E-1,5.867589951E0,1.558026791E0,9.448717117E0
7.857503430E-1,5.834071159E0,1.505354285E0,9.491812706E0
7.877433640E-1,5.786187172E0,1.495777488E0,9.530718803E0
7.897363850E-1,5.714360714E0,1.471835494E0,9.621698380E0
7.917294060E-1,5.647323132E0,1.447893500E0,9.674370766E0
7.937224270E-1,5.565920353E0,1.423951507E0,9.683947563E0
7.957154470E-1,5.494094372E0,1.419163108E0,9.698312759E0
7.977084680E-1,5.436633587E0,1.380257249E0,9.693524361E0
7.997014890E-1,5.374384403E0,1.399410844E0,9.712677956E0
8.016945100E-1,5.331288815E0,1.394622445E0,9.693524361E0
8.036875310E-1,5.307346821E0,1.394622445E0,9.707889557E0
8.056805520E-1,5.302558422E0,1.404797792E0,9.712677956E0
8.076735720E-1,5.326500416E0,1.428739905E0,9.688735962E0
8.096665930E-1,5.360019207E0,1.443105102E0,9.597756386E0
8.116596140E-1,5.407903194E0,1.457470298E0,9.472659111E0
8.136526350E-1,5.484517574E0,1.467047095E0,9.362525940E0
8.156456560E-1,5.589862347E0,1.486200690E0,9.209297180E0
8.176386770E-1,5.723937511E0,1.486200690E0,9.075222015E0
8.196316970E-1,5.872378349E0,1.500565886E0,8.945934296E0
8.216247180E-1,6.044760704E0,1.481412292E0,8.869319916E0
