"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.781257600E-1,5.962641835E-1,-1.344057798E0,-8.661676049E-1
6.801188330E-1,6.463301182E-1,-1.316361666E0,-8.597761989E-1
6.821119060E-1,6.889394522E-1,-1.297187567E0,-8.608414531E-1
6.841049790E-1,7.272878289E-1,-1.286535144E0,-8.672328591E-1
6.860980520E-1,7.667014599E-1,-1.282274246E0,-8.725590110E-1
6.880911240E-1,7.997236848E-1,-1.271621943E0,-8.832113147E-1
6.900841970E-1,8.327459097E-1,-1.256708622E0,-8.981245756E-1
6.920772700E-1,8.615072370E-1,-1.241795421E0,-9.130378366E-1
6.940703430E-1,8.902685046E-1,-1.234338760E0,-9.332773089E-1
6.960634160E-1,9.190297723E-1,-1.220490694E0,-9.524514675E-1
6.980564890E-1,9.499215484E-1,-1.216229796E0,-9.694951773E-1
7.000495620E-1,9.754871130E-1,-1.240730166E0,-9.822779894E-1
7.020426350E-1,1.002117991E0,-1.318492174E0,-9.737561345E-1
7.040357080E-1,1.022357345E0,-1.370688558E0,-9.673647285E-1
7.060287810E-1,1.039401174E0,-1.401580334E0,-9.609733224E-1
7.080218540E-1,1.054314375E0,-1.418624043E0,-9.556471705E-1
7.100149270E-1,1.068162441E0,-1.419689298E0,-9.492557645E-1
7.120079990E-1,1.075619102E0,-1.418624043E0,-9.449948668E-1
7.140010720E-1,1.085206151E0,-1.405841231E0,-9.375382066E-1
7.159941450E-1,1.093728065E0,-1.388797522E0,-9.311468005E-1
7.179872180E-1,1.092662811E0,-1.370688558E0,-9.247553945E-1
7.199802910E-1,1.089467049E0,-1.361101508E0,-9.162335396E-1
7.219733640E-1,1.076684237E0,-1.362166762E0,-9.055812359E-1
7.239664370E-1,1.044727325E0,-1.389862776E0,-8.938636780E-1
7.259595100E-1,1.013835549E0,-1.404776096E0,-8.821461201E-1
7.279525830E-1,9.786828160E-1,-1.414363146E0,-8.693633080E-1
7.299456560E-1,9.413996935E-1,-1.422885060E0,-8.608414531E-1
7.319387290E-1,9.019860625E-1,-1.430341601E0,-8.512543440E-1
7.339318020E-1,8.625724316E-1,-1.443124413E0,-8.437976837E-1
7.359248220E-1,8.188979030E-1,-1.458037734E0,-8.406019807E-1
7.379178430E-1,7.762885690E-1,-1.477211952E0,-8.363410830E-1
7.399108640E-1,7.347444892E-1,-1.498516560E0,-8.352758288E-1
7.419038850E-1,6.953308582E-1,-1.523016930E0,-8.342106342E-1
7.438969060E-1,6.537867785E-1,-1.548582554E0,-8.352758288E-1
7.458899270E-1,6.111774445E-1,-1.579474211E0,-8.363410830E-1
7.478829470E-1,5.749595165E-1,-1.608235598E0,-8.384715319E-1
7.498759680E-1,5.355458856E-1,-1.642323017E0,-8.416672349E-1
7.518689890E-1,4.950670600E-1,-1.679606199E0,-8.437976837E-1
7.538620100E-1,4.545882046E-1,-1.716889381E0,-8.459281921E-1
7.558550310E-1,4.173050225E-1,-1.757368207E0,-8.512543440E-1
7.578480520E-1,3.768261969E-1,-1.797847033E0,-8.565804958E-1
7.598410720E-1,3.406082690E-1,-1.841521621E0,-8.597761989E-1
7.618340930E-1,3.033251166E-1,-1.885196090E0,-8.661676049E-1
7.638271140E-1,2.681724131E-1,-1.928870678E0,-8.736242056E-1
7.658201350E-1,2.340849638E-1,-1.975740910E0,-8.789504170E-1
7.678131560E-1,2.053236663E-1,-2.017285109E0,-8.832113147E-1
7.698061770E-1,1.733666807E-1,-2.058829069E0,-8.885374665E-1
7.717991970E-1,1.435401440E-1,-2.100373268E0,-8.917331696E-1
7.737922180E-1,1.137136221E-1,-2.138721704E0,-8.917331696E-1
7.757852390E-1,8.708280325E-2,-2.173874378E0,-8.906679749E-1
7.777782600E-1,5.619104207E-2,-2.207961798E0,-8.885374665E-1
7.797712810E-1,2.742975019E-2,-2.239918709E0,-8.842765689E-1
7.817643020E-1,-3.595161485E-3,-2.267614841E0,-8.789504170E-1
7.837573220E-1,-3.342168778E-2,-2.296375990E0,-8.693633080E-1
7.857503430E-1,-6.324820966E-2,-2.316615582E0,-8.597761989E-1
7.877433640E-1,-9.200949967E-2,-2.336854935E0,-8.480586410E-1
7.897363850E-1,-1.207707971E-1,-2.350703001E0,-8.363410830E-1
7.917294060E-1,-1.505973190E-1,-2.362420559E0,-8.203625679E-1
7.937224270E-1,-1.793586165E-1,-2.375203371E0,-8.054493070E-1
7.957154470E-1,-2.081198990E-1,-2.383725166E0,-7.852098942E-1
7.977084680E-1,-2.400768995E-1,-2.389051437E0,-7.660356760E-1
7.997014890E-1,-2.720338702E-1,-2.399703741E0,-7.447310090E-1
8.016945100E-1,-3.018604219E-1,-2.409290791E0,-7.212958932E-1
8.036875310E-1,-3.348826170E-1,-2.419943094E0,-6.967955232E-1
8.056805520E-1,-3.668396175E-1,-2.431660652E0,-6.733604074E-1
8.076735720E-1,-3.987966180E-1,-2.443378210E0,-6.509905457E-1
8.096665930E-1,-4.360797703E-1,-2.455095768E0,-6.296858788E-1
8.116596140E-1,-4.701672196E-1,-2.466813326E0,-6.105116606E-1
8.136526350E-1,-5.074504018E-1,-2.478530884E0,-5.913375020E-1
8.156456560E-1,-5.489944816E-1,-2.485987663E0,-5.774894357E-1
8.176386770E-1,-5.916038156E-1,-2.492378950E0,-5.636414289E-1
8.196316970E-1,-6.342130899E-1,-2.492378950E0,-5.561847687E-1
8.216247180E-1,-6.778876781E-1,-2.490248442E0,-5.519238710E-1
8.236177390E-1,-7.215622067E-1,-2.483857155E0,-5.508586168E-1
8.256107600E-1,-7.641715407E-1,-2.474270105E0,-5.529890656E-1
8.276037810E-1,-8.046503663E-1,-2.461487293E0,-5.593804717E-1
8.295968020E-1,-8.387378454E-1,-2.445508718E0,-5.679023266E-1
